ticker,final_ror,trade_count
000100,1.2262636525058357,11
000120,1.0532239746238845,7
000150,1.371555383491251,6
000155,1.2206927386097621,9
000240,1.2108874986339753,11
000250,1.16689872834406,6
000270,1.068343843499928,3
000500,1.6805511554164518,16
000660,1.130350788011433,2
000720,1.1648054226051274,4
000810,1.1114148317925325,2
000880,1.441731209689802,10
000990,1.3685767236553266,9
0009K0,1.0524717138734907,1
001040,1.187133153983241,8
001080,1.0844982049062897,9
001430,1.1434804466581558,7
001440,1.3500315554152729,14
001450,1.0747900205339151,2
001720,1.2234633497021268,10
002380,1.0593752604714677,7
002790,1.0965265561862845,5
003230,1.1147709088080935,6
003380,1.0301073140723453,8
003490,1.1561268206932065,5
003530,1.1743238449562887,18
003540,1.0788814249802425,8
003550,1.1418794274248558,4
003570,1.5099884097221965,11
003670,1.0111958836053938,1
003690,1.0216070341542016,8
004020,1.180245674537987,7
004170,1.1204679877005808,6
004370,1.2772926070568913,5
004800,0.0,14
004990,1.4627527110965939,12
005070,1.3684261797383421,6
005290,1.3422754173351907,10
005380,1.3099475254173245,6
005385,1.1514958439725895,5
005387,1.1379458005061112,5
005440,1.246435354501394,11
005490,0.9864294674613094,5
005830,1.0,0
005850,1.0359019421481857,9
005930,1.0111442548621883,1
005935,1.0094324160848227,2
005940,1.1591897043604344,6
006040,1.1037607317829525,11
006260,1.3495712240764488,8
006280,1.1769720667499635,9
006360,1.0330670043939139,4
006400,1.0836294540237272,2
006800,1.2101080651084581,8
00680K,1.099824859660667,9
007070,1.2233185316039752,9
007660,1.3913515953172404,12
008770,1.1164386723750601,7
008930,1.131598386532848,12
009150,1.0921698128356214,4
009420,1.0462830064564366,12
009540,1.0771467798408434,4
009830,1.2246761753307354,6
009970,1.0621670497015199,4
010060,0.9679614061517182,8
010120,1.13379112720471,6
010130,2.046804267110768,12
010140,1.4496347093206359,10
010950,1.0999834862009958,6
011070,1.1662353458739243,6
011170,1.2443339514019494,6
011200,0.97945730400379,6
011210,1.1323442700193795,8
011780,1.2797833015486748,7
011790,1.327848446638483,13
012330,1.197603864614514,7
012450,1.1909978282883988,7
