date,ticker,target,next_open,shares,buy_amt,sell_amt,pnl,ret,market_cap,mcap_cutoff
2024-06-05,031980,61430.0,65000.0,162,9951660.0,10424700.0,473040.0,0.047533778284226,1392930717000.0,809854596000.0005
2024-06-21,033100,74150.0,85000.0,134,9936100.0,11276100.0,1340000.0,0.13486176668914363,1357273560500.0,816830485000.0002
2024-06-19,034020,20463.0,21200.0,488,9985944.0,10242144.0,256200.0,0.02565606216097338,13547868237900.0,814696184820.0006
2024-06-03,036460,30850.0,40800.0,324,9995400.0,13087008.0,3091608.0,0.3093030794165317,3572513100000.0,811607383380.0001
2024-06-04,036460,47100.0,39000.0,212,9985200.0,8185320.0,-1799880.0,-0.18025477707006365,3637132200000.0,809671769628.0002
2024-06-19,036540,5516.0,5870.0,1812,9994992.0,10530076.0,535084.0,0.05353517041334288,950580551340.0,814696184820.0006
2024-06-04,036830,74690.0,78000.0,133,9933770.0,10270260.0,336490.0,0.03387334315169377,1656160424000.0,809671769628.0002
2024-06-13,047050,58320.0,67600.0,171,9972720.0,11444004.0,1471284.0,0.1475308641975308,11558127171600.0,821313027816.0006
2024-06-14,049770,43815.0,46750.0,228,9989820.0,10552410.0,562590.0,0.05631633002396441,889528082000.0,813435926880.0002
2024-06-13,051980,13629.0,13830.0,733,9990057.0,10036016.0,45959.0,0.004600484261501281,1220321566200.0,821313027816.0006
2024-06-20,056190,29315.0,28050.0,341,9996415.0,9469400.0,-527016.0,-0.05272045028142591,1019808784000.0,818902473120.0007
2024-06-17,064350,41365.0,42450.0,241,9968965.0,10128146.0,159180.0,0.015967605463556245,4649461681800.0,810658899580.0002
2024-06-14,064760,135540.0,141300.0,73,9894420.0,10211751.0,317331.0,0.03207171314741042,1650845000000.0,813435926880.0002
2024-06-19,066570,104970.0,107200.0,95,9972150.0,10082160.0,110010.0,0.01103172334952851,17673963912000.0,814696184820.0006
2024-06-19,066575,46185.0,47500.0,216,9975960.0,10157400.0,181440.0,0.018187723286781532,816334620000.0,814696184820.0006
2024-06-13,066970,169950.0,171700.0,58,9857100.0,9859014.0,1914.0,0.0001941747572815622,6228177040800.0,821313027816.0006
2024-06-13,069260,19624.0,19990.0,509,9988616.0,10073161.0,84545.0,0.008464125560538216,825747477600.0,821313027816.0006
2024-06-07,074600,37035.0,40550.0,270,9999450.0,10839015.0,839565.0,0.0839611178614823,1076493600000.0,824743896744.0001
2024-06-11,078600,133090.0,154900.0,75,9981750.0,11501325.0,1519575.0,0.15223532947629415,2411876389400.0,830558819740.0017
2024-06-21,078930,45335.0,50800.0,220,9973700.0,11064240.0,1090540.0,0.10934156832469388,5008138874200.0,816830485000.0002
2024-06-17,079550,184590.0,204500.0,54,9967860.0,10932570.0,964710.0,0.0967820575329108,4543000000000.0,810658899580.0002
2024-06-18,082640,5422.0,5940.0,1844,9998168.0,10843826.0,845658.0,0.08458133530062706,1048830802500.0,811881063630.0012
2024-06-26,082640,7074.0,7340.0,1413,9995562.0,10267706.0,272144.0,0.02722646310432575,1129510095000.0,822222698436.0004
2024-06-14,082740,14233.0,15300.0,702,9991566.0,10633194.0,641628.0,0.06421696058455706,1287589401060.0,813435926880.0002
2024-06-27,085620,5022.0,5370.0,1991,9998802.0,10584753.0,585951.0,0.0586021505376344,947036611150.0,823977363600.0009
2024-06-27,086900,154360.0,158200.0,64,9879040.0,10023552.0,144512.0,0.014628142005701061,1158271473900.0,823977363600.0009
2024-06-12,087010,43355.0,41500.0,230,9971650.0,9449550.0,-522100.0,-0.05235843616653213,830425470000.0,829600133040.0007
2024-06-18,088350,2808.0,2860.0,3561,9999288.0,10082615.0,83327.0,0.008333333333333304,2488338450000.0,811881063630.0012
2024-06-18,089860,28210.0,29050.0,354,9986340.0,10180863.0,194523.0,0.019478908188585553,1064219530150.0,811881063630.0012
2024-06-11,093370,7786.0,7910.0,1284,9997224.0,10054876.0,57652.0,0.005766760852812691,855897533400.0,830558819740.0017
2024-06-04,100090,17143.0,15020.0,583,9994369.0,8669093.0,-1325276.0,-0.13260222831476398,879054184800.0,809671769628.0002
2024-06-21,103140,68570.0,64000.0,145,9942650.0,9187200.0,-755450.0,-0.07598074959894996,1779541653000.0,816830485000.0002
2024-06-20,108320,72600.0,77900.0,137,9946200.0,10565577.0,619377.0,0.06227272727272726,1266988970000.0,818902473120.0007
2024-06-26,112040,44275.0,43000.0,225,9961875.0,9578250.0,-383625.0,-0.03850931677018632,1446205375800.0,822222698436.0004
2024-06-11,121600,125990.0,140000.0,79,9953210.0,10949400.0,996190.0,0.10008730851654901,1725745037000.0,830558819740.0017
2024-06-19,140860,181130.0,190000.0,55,9962150.0,10345500.0,383350.0,0.03848064925743944,1338173160300.0,814696184820.0006
2024-06-20,141080,70930.0,74900.0,140,9930200.0,10381140.0,450940.0,0.0454109685605526,2760834774000.0,818902473120.0007
2024-06-11,145020,254200.0,240000.0,39,9913800.0,9266400.0,-647400.0,-0.06530291109362707,2907361864000.0,830558819740.0017
2024-06-20,148020,38860.0,38535.0,257,9987020.0,9804460.0,-182560.0,-0.018279722079258764,1275968216000.0,818902473120.0007
